Time,Channel A
(ms),(mV)

0.01051200,8.50455100
0.01056000,34.04897000
0.01060800,38.30893000
0.01065600,12.76452000
0.01070400,34.04897000
0.01075200,12.76452000
0.01080000,42.56889000
0.01084800,38.30893000
0.01089600,38.30893000
0.01094400,38.30893000
0.01099200,25.52903000
0.01104000,25.52903000
0.01108800,29.78900000
0.01113600,34.04897000
0.01118400,38.30893000
0.01123200,17.02448000
0.01128000,17.02448000
0.01132800,46.82886000
0.01137600,25.52903000
0.01142400,34.04897000
0.01147200,34.04897000
0.01152000,38.30893000
0.01156800,38.30893000
0.01161600,38.30893000
0.01166400,38.30893000
0.01171200,38.30893000
0.01176000,42.56889000
0.01180800,29.78900000
0.01185600,42.56889000
0.01190400,29.78900000
0.01195200,38.30893000
0.01200000,38.30893000
0.01204800,34.04897000
0.01209600,38.30893000
0.01214400,29.78900000
0.01219200,25.52903000
0.01224000,42.56889000
0.01228800,38.30893000
0.01233600,38.30893000
0.01238400,46.82886000
0.01243200,34.04897000
0.01248000,38.30893000
0.01252800,38.30893000
0.01257600,38.30893000
0.01262400,51.07345000
0.01267200,42.56889000
0.01272000,42.56889000
0.01276800,42.56889000
0.01281600,34.04897000
0.01286400,68.11331000
0.01291200,42.56889000
0.01296000,51.07345000
0.01300800,63.85334000
0.01305600,63.85334000
0.01310400,38.30893000
0.01315200,59.59338000
0.01320000,38.30893000
0.01324800,42.56889000
0.01329600,42.56889000
0.01334400,42.56889000
0.01339200,42.56889000
0.01344000,46.82886000
0.01348800,38.30893000
0.01353600,42.56889000
0.01358400,38.30893000
0.01363200,42.56889000
0.01368000,42.56889000
0.01372800,42.56889000
0.01377600,42.56889000
0.01382400,46.82886000
0.01387200,46.82886000
0.01392000,46.82886000
0.01396800,42.56889000
0.01401600,42.56889000
0.01406400,46.82886000
0.01411200,51.07345000
0.01416000,46.82886000
0.01420800,46.82886000
0.01425600,42.56889000
0.01430400,46.82886000
0.01435200,42.56889000
0.01440000,46.82886000
0.01444800,46.82886000
0.01449600,46.82886000
0.01454400,46.82886000
0.01459200,51.07345000
0.01464000,46.82886000
0.01468800,46.82886000
0.01473600,51.07345000
0.01478400,46.82886000
0.01483200,46.82886000
0.01488000,46.82886000
0.01492800,42.56889000
0.01497600,51.07345000
0.01502400,46.82886000
0.01507200,46.82886000
0.01512000,42.56889000
0.01516800,42.56889000
0.01521600,42.56889000
0.01526400,46.82886000
0.01531200,46.82886000
0.01536000,51.07345000
0.01540800,46.82886000
0.01545600,46.82886000
0.01550400,42.56889000
0.01555200,51.07345000
0.01560000,46.82886000
0.01564800,46.82886000
0.01569600,46.82886000
0.01574400,46.82886000
0.01579200,46.82886000
0.01584000,46.82886000
0.01588800,42.56889000
0.01593600,42.56889000
0.01598400,46.82886000
0.01603200,46.82886000
0.01608000,46.82886000
