Time,Channel A
(ms),(mV)

0.00000000,-5.09965500
0.00004800,-5.09965500
0.00009600,-5.09965500
0.00014400,-5.09965500
0.00019200,-5.09965500
0.00024000,-6.80364100
0.00028800,-5.09965500
0.00033600,-5.09965500
0.00038400,-6.80364100
0.00043200,-6.80364100
0.00048000,-5.09965500
0.00052800,-8.50762700
0.00057600,-8.50762700
0.00062400,-13.60728000
0.00067200,-10.20546000
0.00072000,-8.50762700
0.00076800,-11.90945000
0.00081600,-8.50762700
0.00086400,-11.90945000
0.00091200,-10.20546000
0.00096000,-13.60728000
0.00100800,-13.60728000
0.00105600,-17.01525000
0.00110400,-13.60728000
0.00115200,-13.60728000
0.00120000,-15.31127000
0.00124800,-15.31127000
0.00129600,-15.31127000
0.00134400,-22.11491000
0.00139200,-13.60728000
0.00144000,-17.01525000
0.00148800,-18.71309000
0.00153600,-18.71309000
0.00158400,-18.71309000
0.00163200,-20.41708000
0.00168000,-22.11491000
0.00172800,-20.41708000
0.00177600,-23.81890000
0.00182400,-20.41708000
0.00187200,-22.11491000
0.00192000,-23.81890000
0.00196800,-22.11491000
0.00201600,-20.41708000
0.00206400,-22.11491000
0.00211200,-22.11491000
0.00216000,-25.52288000
0.00220800,-25.52288000
0.00225600,-23.81890000
0.00230400,-23.81890000
0.00235200,-22.11491000
0.00240000,-22.11491000
0.00244800,-25.52288000
0.00249600,-23.81890000
0.00254400,-27.22072000
0.00259200,-27.22072000
0.00264000,-25.52288000
0.00268800,-27.22072000
0.00273600,-28.92470000
0.00278400,-32.32653000
0.00283200,-27.22072000
0.00288000,-11.90945000
0.00292800,-44.23597000
0.00297600,-13.60728000
0.00302400,-56.14542000
0.00307200,-20.41708000
0.00312000,-23.81890000
0.00316800,-32.32653000
0.00321600,-17.01525000
0.00326400,-54.44759000
0.00331200,-25.52288000
0.00336000,-56.14542000
0.00340800,-22.11491000
0.00345600,-23.81890000
0.00350400,-34.03051000
0.00355200,-30.62254000
0.00360000,-35.72834000
0.00364800,-30.62254000
0.00369600,-59.55339000
