Time,Channel A
(ms),(mV)

0.00000000,-5.09965500
0.00004800,-5.09965500
0.00009600,-8.50762700
0.00014400,-5.09965500
0.00019200,-3.40182100
0.00024000,-3.40182100
0.00028800,-1.69783400
0.00033600,-5.09965500
0.00038400,-5.09965500
0.00043200,-1.69783400
0.00048000,-1.69783400
0.00052800,5.09965500
0.00057600,-3.40182100
0.00062400,1.69783400
0.00067200,-3.40182100
0.00072000,3.40182100
0.00076800,3.40182100
0.00081600,-3.40182100
0.00086400,5.09965500
0.00091200,3.40182100
0.00096000,3.40182100
0.00100800,3.40182100
0.00105600,3.40182100
0.00110400,5.09965500
0.00115200,5.09965500
0.00120000,3.40182100
0.00124800,6.80364100
0.00129600,8.50762700
0.00134400,8.50762700
0.00139200,5.09965500
0.00144000,6.80364100
0.00148800,10.20546000
0.00153600,8.50762700
0.00158400,6.80364100
0.00163200,8.50762700
0.00168000,10.20546000
0.00172800,8.50762700
0.00177600,10.20546000
0.00182400,8.50762700
0.00187200,11.90945000
0.00192000,10.20546000
0.00196800,11.90945000
0.00201600,11.90945000
0.00206400,11.90945000
0.00211200,13.60728000
0.00216000,11.90945000
0.00220800,13.60728000
0.00225600,13.60728000
0.00230400,-3.40182100
0.00235200,8.50762700
0.00240000,20.41708000
0.00244800,44.23597000
0.00249600,8.50762700
0.00254400,13.60728000
0.00259200,13.60728000
0.00264000,18.71309000
0.00268800,22.11491000
0.00273600,15.31127000
0.00278400,-3.40182100
0.00283200,23.81890000
0.00288000,27.22072000
0.00292800,23.81890000
0.00297600,20.41708000
0.00302400,17.01525000
0.00307200,17.01525000
0.00312000,23.81890000
0.00316800,20.41708000
0.00321600,23.81890000
0.00326400,22.11491000
0.00331200,25.52288000
0.00336000,23.81890000
0.00340800,22.11491000
0.00345600,27.22072000
0.00350400,25.52288000
0.00355200,23.81890000
0.00360000,25.52288000
0.00364800,32.32653000
0.00369600,27.22072000
0.00374400,32.32653000
0.00379200,23.81890000
0.00384000,28.92470000
0.00388800,20.41708000
0.00393600,25.52288000
