Time,Channel A
(ms),(mV)

0.00000000,44.23597000
0.00004800,39.13017000
0.00009600,42.53814000
0.00014400,40.83415000
0.00019200,39.13017000
0.00024000,44.23597000
0.00028800,40.83415000
0.00033600,40.83415000
0.00038400,42.53814000
0.00043200,49.34178000
0.00048000,40.83415000
0.00052800,45.93996000
0.00057600,39.13017000
0.00062400,37.43233000
0.00067200,42.53814000
0.00072000,39.13017000
0.00076800,44.23597000
0.00081600,42.53814000
0.00086400,39.13017000
0.00091200,42.53814000
0.00096000,37.43233000
0.00100800,39.13017000
0.00105600,37.43233000
0.00110400,37.43233000
0.00115200,37.43233000
0.00120000,37.43233000
0.00124800,34.03051000
0.00129600,39.13017000
0.00134400,34.03051000
0.00139200,35.72834000
0.00144000,42.53814000
0.00148800,32.32653000
0.00153600,39.13017000
0.00158400,35.72834000
0.00163200,35.72834000
0.00168000,34.03051000
0.00172800,34.03051000
0.00177600,32.32653000
0.00182400,35.72834000
0.00187200,32.32653000
0.00192000,32.32653000
0.00196800,35.72834000
0.00201600,32.32653000
0.00206400,34.03051000
0.00211200,32.32653000
0.00216000,30.62254000
0.00220800,32.32653000
0.00225600,30.62254000
0.00230400,34.03051000
0.00235200,28.92470000
0.00240000,30.62254000
0.00244800,28.92470000
0.00249600,25.52288000
0.00254400,27.22072000
0.00259200,28.92470000
0.00264000,25.52288000
0.00268800,27.22072000
0.00273600,32.32653000
0.00278400,20.41708000
0.00283200,22.11491000
0.00288000,23.81890000
0.00292800,22.11491000
0.00297600,25.52288000
0.00302400,23.81890000
0.00307200,20.41708000
0.00312000,23.81890000
0.00316800,20.41708000
0.00321600,22.11491000
0.00326400,18.71309000
0.00331200,22.11491000
0.00336000,23.81890000
0.00340800,18.71309000
0.00345600,25.52288000
0.00350400,20.41708000
0.00355200,20.41708000
0.00360000,20.41708000
0.00364800,17.01525000
0.00369600,17.01525000
0.00374400,15.31127000
0.00379200,17.01525000
0.00384000,15.31127000
0.00388800,13.60728000
0.00393600,18.71309000
0.00398400,17.01525000
