Time,Channel A
(ms),(mV)

0.00000000,-47.63779000
0.00004800,-44.23597000
0.00009600,-47.63779000
0.00014400,-45.93996000
0.00019200,-47.63779000
0.00024000,-47.63779000
0.00028800,-44.23597000
0.00033600,-44.23597000
0.00038400,-40.83415000
0.00043200,-45.93996000
0.00048000,-44.23597000
0.00052800,-44.23597000
0.00057600,-45.93996000
0.00062400,-42.53814000
0.00067200,-42.53814000
0.00072000,-44.23597000
0.00076800,-42.53814000
0.00081600,-42.53814000
0.00086400,-42.53814000
0.00091200,-40.83415000
0.00096000,-44.23597000
0.00100800,-42.53814000
0.00105600,-40.83415000
0.00110400,-40.83415000
0.00115200,-45.93996000
0.00120000,-40.83415000
0.00124800,-40.83415000
0.00129600,-40.83415000
0.00134400,-37.43233000
0.00139200,-49.34178000
0.00144000,-37.43233000
0.00148800,-40.83415000
0.00153600,-37.43233000
0.00158400,-35.72834000
0.00163200,-37.43233000
0.00168000,-37.43233000
0.00172800,-39.13017000
0.00177600,-35.72834000
0.00182400,-37.43233000
0.00187200,-37.43233000
0.00192000,-39.13017000
0.00196800,-37.43233000
0.00201600,-35.72834000
0.00206400,-32.32653000
0.00211200,-35.72834000
0.00216000,-35.72834000
0.00220800,-30.62254000
0.00225600,-37.43233000
0.00230400,-34.03051000
0.00235200,-35.72834000
0.00240000,-34.03051000
0.00244800,-34.03051000
0.00249600,-34.03051000
0.00254400,-30.62254000
0.00259200,-30.62254000
0.00264000,-30.62254000
0.00268800,-28.92470000
0.00273600,-28.92470000
0.00278400,-30.62254000
0.00283200,-30.62254000
0.00288000,-27.22072000
0.00292800,-30.62254000
0.00297600,-28.92470000
0.00302400,-25.52288000
0.00307200,-28.92470000
0.00312000,-27.22072000
0.00316800,-27.22072000
0.00321600,-25.52288000
0.00326400,-25.52288000
0.00331200,-25.52288000
0.00336000,-25.52288000
0.00340800,-20.41708000
0.00345600,-25.52288000
0.00350400,-25.52288000
0.00355200,-25.52288000
0.00360000,-22.11491000
0.00364800,-23.81890000
0.00369600,-17.01525000
