Time,Channel A
(ms),(mV)

0.00000000,-39.13017000
0.00004800,-37.43233000
0.00009600,-40.83415000
0.00014400,-39.13017000
0.00019200,-35.72834000
0.00024000,-40.83415000
0.00028800,-35.72834000
0.00033600,-37.43233000
0.00038400,-37.43233000
0.00043200,-37.43233000
0.00048000,-39.13017000
0.00052800,-34.03051000
0.00057600,-37.43233000
0.00062400,-34.03051000
0.00067200,-35.72834000
0.00072000,-32.32653000
0.00076800,-30.62254000
0.00081600,-34.03051000
0.00086400,-34.03051000
0.00091200,-32.32653000
0.00096000,-32.32653000
0.00100800,-28.92470000
0.00105600,-34.03051000
0.00110400,-34.03051000
0.00115200,-30.62254000
0.00120000,-30.62254000
0.00124800,-32.32653000
0.00129600,-28.92470000
0.00134400,-35.72834000
0.00139200,-27.22072000
0.00144000,-35.72834000
0.00148800,-35.72834000
0.00153600,-25.52288000
0.00158400,-28.92470000
0.00163200,-27.22072000
0.00168000,-27.22072000
0.00172800,-27.22072000
0.00177600,-25.52288000
0.00182400,-27.22072000
0.00187200,-23.81890000
0.00192000,-23.81890000
0.00196800,-27.22072000
0.00201600,-27.22072000
0.00206400,-27.22072000
0.00211200,-23.81890000
0.00216000,-22.11491000
0.00220800,-20.41708000
0.00225600,-20.41708000
0.00230400,-23.81890000
0.00235200,-22.11491000
0.00240000,-23.81890000
0.00244800,-18.71309000
0.00249600,-18.71309000
0.00254400,-20.41708000
0.00259200,-20.41708000
0.00264000,-18.71309000
0.00268800,-18.71309000
0.00273600,-20.41708000
0.00278400,-17.01525000
0.00283200,-17.01525000
0.00288000,-17.01525000
0.00292800,-15.31127000
0.00297600,-17.01525000
0.00302400,-17.01525000
0.00307200,-13.60728000
0.00312000,-15.31127000
0.00316800,-15.31127000
0.00321600,-15.31127000
0.00326400,-15.31127000
0.00331200,-15.31127000
0.00336000,-13.60728000
0.00340800,-13.60728000
0.00345600,-13.60728000
0.00350400,-13.60728000
0.00355200,-11.90945000
0.00360000,-8.50762700
0.00364800,-13.60728000
0.00369600,-8.50762700
