Time,Channel A
(ms),(mV)

0.00000000,10.20546000
0.00004800,20.41708000
0.00009600,13.60728000
0.00014400,11.90945000
0.00019200,17.01525000
0.00024000,5.09965500
0.00028800,15.31127000
0.00033600,15.31127000
0.00038400,6.80364100
0.00043200,10.20546000
0.00048000,17.01525000
0.00052800,10.20546000
0.00057600,5.09965500
0.00062400,3.40182100
0.00067200,3.40182100
0.00072000,5.09965500
0.00076800,3.40182100
0.00081600,6.80364100
0.00086400,5.09965500
0.00091200,6.80364100
0.00096000,8.50762700
0.00100800,5.09965500
0.00105600,3.40182100
0.00110400,5.09965500
0.00115200,-11.90945000
0.00120000,5.09965500
0.00124800,8.50762700
0.00129600,-6.80364100
0.00134400,22.11491000
0.00139200,-25.52288000
0.00144000,10.20546000
0.00148800,-18.71309000
0.00153600,11.90945000
0.00158400,6.80364100
0.00163200,0.00000000
0.00168000,15.31127000
0.00172800,-22.11491000
0.00177600,-6.80364100
0.00182400,-5.09965500
0.00187200,-8.50762700
0.00192000,-11.90945000
0.00196800,11.90945000
0.00201600,-1.69783400
0.00206400,-18.71309000
0.00211200,-1.69783400
0.00216000,1.69783400
0.00220800,-15.31127000
0.00225600,3.40182100
0.00230400,-10.20546000
0.00235200,-13.60728000
0.00240000,-10.20546000
0.00244800,-11.90945000
0.00249600,-1.69783400
0.00254400,-11.90945000
0.00259200,-17.01525000
0.00264000,-15.31127000
0.00268800,-1.69783400
0.00273600,-27.22072000
0.00278400,-6.80364100
0.00283200,1.69783400
0.00288000,-22.11491000
0.00292800,3.40182100
0.00297600,-40.83415000
0.00302400,-5.09965500
0.00307200,-15.31127000
0.00312000,-11.90945000
0.00316800,8.50762700
0.00321600,-22.11491000
0.00326400,-27.22072000
0.00331200,0.00000000
0.00336000,-32.32653000
0.00340800,5.09965500
0.00345600,-34.03051000
0.00350400,-15.31127000
0.00355200,-27.22072000
0.00360000,-23.81890000
0.00364800,-5.09965500
0.00369600,-15.31127000
0.00374400,-23.81890000
0.00379200,-20.41708000
0.00384000,-49.34178000
