Time,Channel B
(us),(mV)

0.00000000,8.45841400
0.00800000,-13.53962000
0.01600000,-15.23130000
0.02400000,-1.69168300
0.03200000,10.15010000
0.04000000,15.23130000
0.04800000,16.92298000
0.05600000,16.92298000
0.06400000,15.23130000
0.07200000,6.76673200
0.08000000,-6.76673200
0.08800000,-10.15010000
0.09600000,3.38336600
0.10400000,20.30635000
0.11200000,32.15428000
0.12000000,30.46260000
0.12800000,10.15010000
0.13600000,-15.23130000
0.14400000,-23.69586000
0.15200000,-8.45841400
0.16000000,16.92298000
0.16800000,32.15428000
0.17600000,28.77091000
0.18399999,20.30635000
0.19199999,5.07504900
0.19999999,3.38336600
0.20799999,-11.84793000
0.21599999,-18.61466000
0.22399999,-5.07504900
0.23199999,18.61466000
0.23999999,33.85211000
0.24799999,30.46260000
0.25599999,13.53962000
0.26399999,-8.45841400
0.27199999,-13.53962000
0.27999999,-11.84793000
0.28799999,1.69168300
0.29599999,18.61466000
0.30399999,27.07923000
0.31199999,11.84793000
0.31999999,-5.07504900
0.32799999,-8.45841400
0.33599999,1.69168300
0.34399999,13.53962000
0.35199999,11.84793000
0.35999999,1.69168300
0.36799999,3.38336600
0.37599999,5.07504900
0.38399999,8.45841400
0.39199999,8.45841400
0.39999999,-1.69168300
0.40799999,-6.76673200
0.41599999,0.00000000
0.42399999,13.53962000
0.43199999,20.30635000
0.43999999,16.92298000
0.44799999,-8.45841400
0.45599999,-13.53962000
0.46399999,-5.07504900
0.47199999,13.53962000
0.47999999,13.53962000
0.48799999,1.69168300
0.49599999,-1.69168300
0.50399999,0.00000000
0.51199999,5.07504900
0.51999999,5.07504900
0.52799999,5.07504900
0.53599998,10.15010000
0.54399998,11.84793000
0.55199998,1.69168300
0.55999998,-5.07504900
0.56799998,-10.15010000
0.57599998,-5.07504900
0.58399998,10.15010000
0.59199998,20.30635000
0.59999998,15.23130000
0.60799998,5.07504900
0.61599998,-18.61466000
0.62399998,-16.92298000
0.63199998,3.38336600
0.63999998,20.30635000
0.64799998,16.92298000
0.65599998,1.69168300
0.66399998,-10.15010000
0.67199998,-10.15010000
0.67999998,0.00000000
0.68799998,1.69168300
0.69599998,11.84793000
0.70399998,13.53962000
0.71199998,3.38336600
0.71999998,-10.15010000
0.72799998,-6.76673200
0.73599998,-5.07504900
0.74399998,-3.38336600
0.75199998,5.07504900
0.75999998,11.84793000
0.76799998,13.53962000
0.77599998,1.69168300
0.78399998,0.00000000
0.79199998,-8.45841400
0.79999998,-5.07504900
0.80799998,0.00000000
0.81599998,5.07504900
0.82399998,5.07504900
0.83199998,5.07504900
0.83999998,5.07504900
0.84799998,3.38336600
0.85599998,-1.69168300
0.86399998,-15.23130000
0.87199998,-8.45841400
0.87999998,8.45841400
0.88799997,20.30635000
0.89599997,6.76673200
0.90399997,-6.76673200
0.91199997,-16.92298000
0.91999997,-11.84793000
0.92799997,5.07504900
0.93599997,15.23130000
0.94399997,10.15010000
0.95199997,1.69168300
0.95999997,-6.76673200
0.96799997,-6.76673200
0.97599997,-3.38336600
0.98399997,-3.38336600
0.99199997,-1.69168300
0.99999997,1.69168300
1.00799997,8.45841400
1.01599997,8.45841400
1.02399997,-5.07504900
1.03199997,-1.69168300
1.03999997,-6.76673200
1.04799997,-3.38336600
1.05599997,-3.38336600
1.06399997,0.00000000
1.07199997,1.69168300
1.07999997,5.07504900
1.08799997,8.45841400
1.09599997,0.00000000
1.10399997,-10.15010000
1.11199997,-13.53962000
1.11999997,-6.76673200
1.12799997,1.69168300
1.13599997,5.07504900
1.14399997,-3.38336600
1.15199997,-10.15010000
1.15999997,-8.45841400
1.16799997,1.69168300
1.17599997,10.15010000
1.18399997,8.45841400
1.19199997,0.00000000
1.19999997,-8.45841400
1.20799997,-10.15010000
1.21599997,-6.76673200
1.22399997,0.00000000
1.23199997,3.38336600
1.23999996,5.07504900
1.24799996,3.38336600
1.25599996,3.38336600
1.26399996,0.00000000
1.27199996,-5.07504900
1.27999996,-20.30635000
1.28799996,-13.53962000
1.29599996,1.69168300
1.30399996,15.23130000
1.31199996,5.07504900
1.31999996,-6.76673200
1.32799996,-13.53962000
1.33599996,-11.84793000
1.34399996,-1.69168300
1.35199996,1.69168300
1.35999996,0.00000000
1.36799996,-3.38336600
1.37599996,-3.38336600
1.38399996,0.00000000
1.39199996,0.00000000
1.39999996,-8.45841400
1.40799996,-10.15010000
1.41599996,-11.84793000
1.42399996,-5.07504900
1.43199996,3.38336600
1.43999996,-1.69168300
1.44799996,5.07504900
1.45599996,-5.07504900
1.46399996,-8.45841400
1.47199996,-8.45841400
1.47999996,-1.69168300
1.48799996,-5.07504900
1.49599996,-5.07504900
1.50399996,0.00000000
1.51199996,-5.07504900
1.51999996,-11.84793000
1.52799996,-30.46260000
1.53599996,11.84793000
1.54399996,60.93134000
1.55199996,25.38755000
1.55999996,-52.46678000
1.56799996,-81.24384000
1.57599996,-45.70005000
1.58399996,18.61466000
1.59199995,54.16461000
1.59999995,28.77091000
1.60799995,-13.53962000
1.61599995,-20.30635000
1.62399995,-10.15010000
1.63199995,-3.38336600
1.63999995,-16.92298000
1.64799995,-32.15428000
1.65599995,-25.38755000
1.66399995,0.00000000
1.67199995,28.77091000
1.67999995,35.54380000
1.68799995,11.84793000
1.69599995,-20.30635000
1.70399995,-69.39591000
1.71199995,-67.70422000
1.71999995,6.76673200
1.72799995,66.01254000
1.73599995,55.85630000
1.74399995,-1.69168300
1.75199995,-54.16461000
1.75999995,-57.54798000
1.76799995,-22.00418000
1.77599995,11.84793000
1.78399995,6.76673200
1.79199995,-8.45841400
1.79999995,0.00000000
1.80799995,13.53962000
1.81599995,6.76673200
1.82399995,-13.53962000
1.83199995,-32.15428000
1.83999995,-32.15428000
1.84799995,-15.23130000
1.85599995,8.45841400
1.86399995,10.15010000
1.87199995,-6.76673200
1.87999995,-18.61466000
1.88799995,-11.84793000
1.89599995,0.00000000
1.90399995,1.69168300
1.91199995,-11.84793000
1.91999995,-22.00418000
1.92799995,-15.23130000
1.93599995,-3.38336600
1.94399995,1.69168300
1.95199994,-13.53962000
1.95999994,-18.61466000
1.96799994,-6.76673200
1.97599994,10.15010000
1.98399994,6.76673200
1.99199994,-11.84793000
1.99999994,-23.69586000
2.00799994,-27.07923000
2.01599994,-23.69586000
2.02399994,-3.38336600
2.03199994,11.84793000
2.03999994,1.69168300
2.04799994,-8.45841400
2.05599994,-15.23130000
2.06399994,-16.92298000
2.07199994,-10.15010000
2.07999994,-6.76673200
2.08799994,-11.84793000
2.09599994,-15.23130000
2.10399994,-15.23130000
2.11199994,-10.15010000
2.11999994,-5.07504900
2.12799994,-5.07504900
2.13599994,-6.76673200
2.14399994,-11.84793000
2.15199994,-11.84793000
2.15999994,-11.84793000
2.16799994,-18.61466000
2.17599994,-16.92298000
2.18399994,-6.76673200
2.19199994,-5.07504900
2.19999994,-5.07504900
2.20799994,-8.45841400
2.21599994,-11.84793000
2.22399994,-13.53962000
2.23199994,-13.53962000
2.23999994,-15.23130000
2.24799994,-15.23130000
2.25599994,-13.53962000
2.26399994,-6.76673200
2.27199994,-6.76673200
2.27999994,-13.53962000
2.28799994,-16.92298000
2.29599994,-16.92298000
2.30399993,-15.23130000
2.31199993,-11.84793000
2.31999993,-8.45841400
2.32799993,-6.76673200
2.33599993,-8.45841400
2.34399993,-16.92298000
2.35199993,-20.30635000
2.35999993,-20.30635000
2.36799993,-11.84793000
2.37599993,-3.38336600
2.38399993,-1.69168300
2.39199993,-6.76673200
2.39999993,-16.92298000
2.40799993,-25.38755000
2.41599993,-23.69586000
2.42399993,-18.61466000
2.43199993,-10.15010000
2.43999993,-6.76673200
2.44799993,-10.15010000
2.45599993,-11.84793000
2.46399993,-11.84793000
2.47199993,-8.45841400
2.47999993,-13.53962000
2.48799993,-18.61466000
2.49599993,-23.69586000
2.50399993,-20.30635000
2.51199993,-11.84793000
2.51999993,-6.76673200
2.52799993,-10.15010000
2.53599993,-13.53962000
2.54399993,-16.92298000
2.55199993,-13.53962000
2.55999993,-16.92298000
2.56799993,-20.30635000
2.57599993,-16.92298000
2.58399993,-15.23130000
2.59199993,-15.23130000
2.59999993,-15.23130000
2.60799993,-15.23130000
2.61599993,-13.53962000
2.62399993,-8.45841400
2.63199993,-15.23130000
2.63999993,-16.92298000
2.64799993,-18.61466000
2.65599992,-22.00418000
2.66399992,-20.30635000
2.67199992,-15.23130000
2.67999992,-11.84793000
2.68799992,-10.15010000
2.69599992,-16.92298000
2.70399992,-16.92298000
2.71199992,-18.61466000
2.71999992,-20.30635000
2.72799992,-16.92298000
2.73599992,-16.92298000
2.74399992,-18.61466000
2.75199992,-16.92298000
2.75999992,-15.23130000
2.76799992,-8.45841400
2.77599992,-6.76673200
2.78399992,-15.23130000
2.79199992,-25.38755000
2.79999992,-33.85211000
2.80799992,-28.77091000
2.81599992,-18.61466000
2.82399992,-8.45841400
2.83199992,-8.45841400
2.83999992,-11.84793000
2.84799992,-22.00418000
2.85599992,-23.69586000
2.86399992,-22.00418000
2.87199992,-18.61466000
2.87999992,-16.92298000
2.88799992,-13.53962000
2.89599992,-18.61466000
2.90399992,-18.61466000
2.91199992,-16.92298000
2.91999992,-15.23130000
2.92799992,-18.61466000
2.93599992,-22.00418000
2.94399992,-20.30635000
2.95199992,-13.53962000
2.95999992,-11.84793000
2.96799992,-15.23130000
2.97599992,-22.00418000
2.98399992,-27.07923000
2.99199992,-23.69586000
2.99999992,-20.30635000
3.00799991,-16.92298000
3.01599991,-16.92298000
3.02399991,-18.61466000
3.03199991,-15.23130000
3.03999991,-15.23130000
3.04799991,-16.92298000
3.05599991,-23.69586000
3.06399991,-28.77091000
3.07199991,-25.38755000
3.07999991,-16.92298000
3.08799991,-10.15010000
3.09599991,-11.84793000
3.10399991,-22.00418000
3.11199991,-27.07923000
3.11999991,-23.69586000
3.12799991,-15.23130000
3.13599991,-15.23130000
3.14399991,-22.00418000
3.15199991,-23.69586000
3.15999991,-18.61466000
3.16799991,-20.30635000
3.17599991,-22.00418000
3.18399991,-27.07923000
3.19199991,-23.69586000
3.19999991,-16.92298000
3.20799991,-13.53962000
3.21599991,-15.23130000
3.22399991,-20.30635000
3.23199991,-22.00418000
3.23999991,-23.69586000
3.24799991,-27.07923000
3.25599991,-27.07923000
3.26399991,-22.00418000
3.27199991,-16.92298000
3.27999991,-10.15010000
3.28799991,-15.23130000
3.29599991,-25.38755000
3.30399991,-30.46260000
3.31199991,-27.07923000
3.31999991,-20.30635000
3.32799991,-18.61466000
3.33599991,-22.00418000
3.34399991,-23.69586000
3.35199991,-22.00418000
3.35999990,-16.92298000
3.36799990,-16.92298000
3.37599990,-22.00418000
3.38399990,-23.69586000
3.39199990,-23.69586000
3.39999990,-22.00418000
3.40799990,-16.92298000
3.41599990,-20.30635000
3.42399990,-23.69586000
3.43199990,-23.69586000
3.43999990,-25.38755000
3.44799990,-22.00418000
3.45599990,-20.30635000
3.46399990,-16.92298000
3.47199990,-18.61466000
3.47999990,-20.30635000
3.48799990,-23.69586000
3.49599990,-25.38755000
3.50399990,-30.46260000
3.51199990,-22.00418000
3.51999990,-18.61466000
3.52799990,-16.92298000
3.53599990,-18.61466000
3.54399990,-20.30635000
3.55199990,-23.69586000
3.55999990,-28.77091000
3.56799990,-28.77091000
3.57599990,-22.00418000
3.58399990,-20.30635000
3.59199990,-20.30635000
3.59999990,-25.38755000
3.60799990,-30.46260000
3.61599990,-23.69586000
3.62399990,-18.61466000
3.63199990,-18.61466000
3.63999990,-18.61466000
3.64799990,-25.38755000
3.65599990,-23.69586000
3.66399990,-23.69586000
3.67199990,-27.07923000
3.67999990,-25.38755000
3.68799990,-27.07923000
3.69599990,-27.07923000
3.70399990,-22.00418000
3.71199990,-20.30635000
3.71999989,-22.00418000
3.72799989,-27.07923000
3.73599989,-28.77091000
3.74399989,-27.07923000
3.75199989,-25.38755000
3.75999989,-28.77091000
3.76799989,-28.77091000
3.77599989,-28.77091000
3.78399989,-27.07923000
3.79199989,-22.00418000
3.79999989,-15.23130000
3.80799989,-16.92298000
3.81599989,-23.69586000
3.82399989,-32.15428000
3.83199989,-30.46260000
3.83999989,-30.46260000
3.84799989,-30.46260000
3.85599989,-30.46260000
3.86399989,-23.69586000
3.87199989,-16.92298000
3.87999989,-13.53962000
3.88799989,-22.00418000
3.89599989,-30.46260000
3.90399989,-35.54380000
3.91199989,-33.85211000
3.91999989,-27.07923000
3.92799989,-23.69586000
3.93599989,-23.69586000
3.94399989,-23.69586000
3.95199989,-25.38755000
3.95999989,-25.38755000
3.96799989,-23.69586000
3.97599989,-22.00418000
3.98399989,-22.00418000
3.99199989,-23.69586000
3.99999989,-27.07923000
4.00799989,-30.46260000
4.01599989,-33.85211000
4.02399989,-33.85211000
4.03199989,-30.46260000
4.03999989,-23.69586000
4.04799989,-18.61466000
4.05599989,-15.23130000
4.06399989,-20.30635000
4.07199988,-28.77091000
4.07999988,-37.23548000
4.08799988,-37.23548000
4.09599988,-32.15428000
4.10399988,-23.69586000
4.11199988,-20.30635000
4.11999988,-23.69586000
