Time,Channel B
(us),(V)

0.00000000,-0.00842766
0.01600000,-0.00842766
0.03200000,-0.00842766
0.04800000,0.00000000
0.06400000,-0.00842766
0.08000000,-0.00842766
0.09600000,-0.00842766
0.11200000,-0.00842766
0.12800000,-0.00842766
0.14400000,-0.00842766
0.16000000,-0.00842766
0.17600000,-0.00842766
0.19199999,-0.01688607
0.20799999,-0.00842766
0.22399999,-0.00842766
0.23999999,-0.00842766
0.25599999,-0.01688607
0.27199999,-0.01688607
0.28799999,-0.00842766
0.30399999,-0.00842766
0.31999999,-0.01688607
0.33599999,-0.00842766
0.35199999,-0.00842766
0.36799999,-0.01688607
0.38399999,-0.00842766
0.39999999,-0.00842766
0.41599999,-0.00842766
0.43199999,-0.00842766
0.44799999,-0.00842766
0.46399999,-0.00842766
0.47999999,-0.00842766
0.49599999,-0.00842766
0.51199999,-0.00842766
0.52799999,-0.00842766
0.54399998,-0.01688607
0.55999998,-0.01688607
0.57599998,-0.01688607
0.59199998,-0.01688607
0.60799998,-0.01688607
0.62399998,-0.01688607
0.63999998,-0.01688607
0.65599998,-0.00842766
0.67199998,-0.00842766
0.68799998,-0.01688607
0.70399998,-0.01688607
0.71999998,-0.01688607
0.73599998,-0.01688607
0.75199998,-0.02531373
0.76799998,-0.00842766
0.78399998,0.00000000
0.79999998,-0.02531373
0.81599998,-0.02531373
0.83199998,-0.00842766
0.84799998,-0.00842766
0.86399998,-0.01688607
0.87999998,-0.01688607
0.89599997,-0.01688607
0.91199997,-0.00842766
0.92799997,-0.02531373
0.94399997,-0.02531373
0.95999997,0.00000000
0.97599997,-0.01688607
0.99199997,-0.02531373
1.00799997,-0.01688607
1.02399997,-0.00842766
1.03999997,-0.00842766
1.05599997,-0.01688607
1.07199997,-0.01688607
1.08799997,-0.02531373
1.10399997,-0.01688607
1.11999997,-0.01688607
1.13599997,-0.00842766
1.15199997,-0.01688607
1.16799997,-0.01688607
1.18399997,-0.03377214
1.19999997,-0.01688607
1.21599997,0.00000000
1.23199997,-0.02531373
1.24799996,-0.04223056
1.26399996,-0.01688607
1.27999996,-0.00842766
1.29599996,-0.01688607
1.31199996,-0.01688607
1.32799996,-0.01688607
1.34399996,-0.03377214
1.35999996,-0.03377214
1.37599996,0.00000000
1.39199996,-0.00842766
1.40799996,-0.02531373
1.42399996,-0.03377214
1.43999996,-0.02531373
1.45599996,-0.00842766
1.47199996,-0.00842766
1.48799996,-0.02531373
1.50399996,-0.02531373
1.51999996,-0.02531373
