Time,Channel A
(ms),(V)

0.00000000,-0.00851993
0.00004800,-0.04259966
0.00009600,-0.02555979
0.00014400,-0.01703986
0.00019200,-0.02555979
0.00024000,0.00000000
0.00028800,-0.03407972
0.00033600,-0.00851993
0.00038400,-0.03407972
0.00043200,-0.02555979
0.00048000,-0.00851993
0.00052800,-0.01703986
0.00057600,-0.01703986
0.00062400,-0.00851993
0.00067200,-0.00851993
0.00072000,-0.04259966
0.00076800,-0.02555979
0.00081600,0.00000000
0.00086400,-0.02555979
0.00091200,-0.00851993
0.00096000,-0.01703986
0.00100800,-0.02555979
0.00105600,-0.00851993
0.00110400,-0.02555979
0.00115200,-0.02555979
0.00120000,-0.02555979
0.00124800,-0.02555979
0.00129600,-0.02555979
0.00134400,-0.02555979
0.00139200,-0.01703986
0.00144000,-0.03407972
0.00148800,0.00851993
0.00153600,-0.03407972
0.00158400,-0.00851993
0.00163200,-0.04259966
0.00168000,-0.02555979
0.00172800,-0.00851993
0.00177600,-0.01703986
0.00182400,-0.01703986
0.00187200,-0.01703986
0.00192000,-0.04259966
0.00196800,0.00851993
0.00201600,-0.03407972
0.00206400,0.00000000
0.00211200,-0.02555979
0.00216000,-0.03407972
0.00220800,-0.01703986
0.00225600,-0.01703986
0.00230400,-0.00851993
0.00235200,-0.00851993
0.00240000,-0.01703986
0.00244800,-0.01703986
0.00249600,-0.04259966
0.00254400,-0.00851993
0.00259200,-0.01703986
0.00264000,-0.04259966
0.00268800,-0.01703986
0.00273600,-0.01703986
0.00278400,-0.02555979
0.00283200,-0.00851993
0.00288000,-0.02555979
0.00292800,-0.01703986
0.00297600,0.00000000
0.00302400,-0.01703986
0.00307200,-0.01703986
0.00312000,-0.01703986
0.00316800,-0.02555979
0.00321600,-0.00851993
0.00326400,-0.01703986
0.00331200,-0.00851993
0.00336000,-0.00851993
0.00340800,-0.01703986
0.00345600,-0.01703986
0.00350400,-0.01703986
0.00355200,-0.01703986
0.00360000,0.00000000
0.00364800,-0.01703986
0.00369600,-0.01703986
0.00374400,-0.00851993
0.00379200,-0.01703986
0.00384000,-0.01703986
0.00388800,-0.01703986
0.00393600,-0.01703986
0.00398400,0.00000000
0.00403200,-0.01703986
0.00408000,-0.00851993
0.00412800,-0.02555979
0.00417600,-0.00851993
0.00422400,0.00851993
0.00427200,-0.00851993
0.00432000,-0.00851993
0.00436800,-0.00851993
0.00441600,-0.00851993
0.00446400,-0.01703986
0.00451200,0.00000000
0.00456000,-0.03407972
0.00460800,-0.01703986
0.00465600,0.00000000
0.00470400,-0.00851993
0.00475200,-0.00851993
0.00480000,-0.00851993
0.00484800,-0.00851993
0.00489600,-0.01703986
0.00494400,-0.00851993
0.00499200,-0.00851993
0.00504000,-0.00851993
0.00508800,-0.00851993
0.00513600,-0.00851993
0.00518400,-0.00851993
0.00523200,-0.01703986
0.00528000,-0.00851993
0.00532800,-0.00851993
0.00537600,-0.00851993
0.00542400,-0.00851993
0.00547200,-0.00851993
0.00552000,-0.00851993
0.00556800,-0.00851993
0.00561600,-0.00851993
0.00566400,-0.00851993
