2830,-2569,-776,0
2572,-2569,-776,0
2830,-2569,-517,0
2572,-2569,-776,-257
2830,-2826,-517,0
2830,-2569,-776,-257
2830,-2826,-517,0
2830,-2569,-776,0
2830,-2569,-517,-257
2830,-2826,-517,0
2830,-2569,-517,0
2830,-2826,-776,257
2830,-2826,-776,0
2830,-2826,-776,0
2830,-2826,-517,0
2830,-2826,-517,0
2830,-2569,-776,0
2830,-2826,-776,0
2830,-2569,-776,0
2830,-2826,-776,0
2830,-2569,-776,0
-3344,1541,3365,3865
-3601,1284,3365,3865
-3601,770,3365,4123
-3859,513,3365,4123
-4116,256,3365,3865
-4116,0,3624,4123
-4373,-513,3624,4123
-4630,-770,3883,4123
-4888,-1284,3883,4123
-4888,-1541,3883,4123
-5145,-1798,4142,4123
-5402,-2312,4142,4123
-5402,-2569,4142,4123
-5660,-2826,4142,4123
-5917,-3340,4142,4123
-6174,-3854,4142,4123
-6174,-4111,4400,3865
-6431,-4625,4400,4123
-6689,-4882,4400,4123
-6946,-5396,4400,4123
-6946,-5653,4659,4123
-7203,-6167,4400,3865
-7460,-6424,4400,4123
-7718,-6681,4400,3865
-7718,-7195,4659,3865
-7975,-7452,4659,3865
-7975,-7709,4659,3865
-8232,-7966,4659,3865
-8490,-8223,4659,3865
-8490,-8737,4659,3865
-8747,-8994,4918,3607
-9004,-9251,4918,3865
-9004,-9508,4918,3865
-9261,-9765,4918,3607
-9519,-10022,4918,3607
-9519,-10279,4918,3607
-9776,-10536,4918,3607
-9776,-10793,4918,3350
-10033,-11049,4918,3607
-10033,-11306,4659,3350
-10290,-11563,4659,3350
-10290,-11820,4659,3092
-10290,-12077,4659,3350
-10548,-12077,4659,3092
-10548,-12334,4659,3092
-10805,-12591,4659,3092
-11062,-12848,4659,3092
-10805,-12848,4659,3092
-11062,-13876,3883,1803
-11062,-13876,3883,1803
-10805,-13876,3624,1546
-10805,-13876,3624,1546
-10805,-13362,3624,1288
-10805,-13362,3365,1288
-10805,-13362,3624,1030
-10548,-13362,3365,1030
-10548,-13105,3365,773
-10033,-13105,3365,773
-10033,-12591,3365,773
-9776,-12848,3365,515
-9519,-12591,3106,257
-9261,-12334,3106,257
-8747,-12077,3106,257
-8490,-12077,3106,0
-8232,-11820,2847,0
-7975,-11563,2847,-257
-7718,-11306,2847,-515
-7203,-11306,2588,-515
-6946,-11306,2588,-515
-6689,-11049,2588,-773
-6431,-11049,2329,-1030
-5917,-10793,2329,-1030
-5660,-10536,2329,-1288
-5402,-10536,2329,-1288
-4888,-10536,2071,-1546
-4630,-10022,2071,-1546
-4373,-10022,2071,-1803
-3601,-9765,1812,-1803
-3344,-9508,1553,-1803
-2830,-9508,1553,-2061
-2315,-9508,1553,-2319
-1800,-9251,1294,-2319
-1543,-8994,1294,-2577
-1029,-8994,1294,-2577
-514,-8737,1035,-2577
0,-8480,776,-2834
514,-8480,776,-2834
1029,-8223,776,-3092
1286,-8223,517,-3092
1800,-7966,517,-3092
2315,-7709,517,-3092
2830,-7709,258,-3350
3344,-7452,258,-3350
3859,-7195,0,-3607
4373,-6938,0,-3350
4630,-6938,-258,-3607
10548,-4882,-2071,-3865
10805,-4882,-2071,-3865
11062,-4625,-2329,-4123
11320,-4625,-2329,-3865
11577,-4368,-2588,-3865
11834,-4111,-2329,-3865
12091,-4111,-2588,-3865
12349,-3854,-2847,-3607
12606,-3854,-2847,-3865
12863,-3597,-2847,-3865
13120,-3597,-2588,-3607
13120,-3340,-2847,-3607
13378,-3340,-3106,-3607
13635,-3083,-3106,-3607
13378,-3083,-3106,-3607
13635,-2826,-3106,-3350
13892,-2569,-3106,-3607
13892,-2312,-3365,-3350
14150,-2312,-3106,-3350
13892,-2055,-3106,-3092
13892,-1798,-3365,-3092
14150,-1798,-3365,-3092
14150,-1541,-3365,-3092
14150,-1284,-3365,-2834
14150,-1027,-3365,-2834
14150,-770,-3365,-2577
13892,-770,-3365,-2577
13892,-513,-3365,-2577
13892,-256,-3624,-2577
13635,0,-3365,-2319
13635,0,-3365,-2319
13378,256,-3365,-2319
13378,513,-3365,-2061
13120,770,-3624,-2061
13120,1027,-3365,-1803
12863,1027,-3624,-1803
12863,1541,-3365,-1803
12606,1541,-3365,-1546
12606,1798,-3365,-1546
12349,2055,-3365,-1288
12091,2312,-3365,-1288
12091,2569,-3365,-1030
11834,2826,-3365,-773
11577,3083,-3365,-773
11320,3597,-3106,-773
11320,3854,-3106,-515
11062,3854,-3365,-515
10805,4368,-3365,-257
5917,8480,-1812,2319
5402,8480,-1812,2577
5145,8737,-1812,2577
4630,8994,-1553,3092
4373,8994,-1553,3092
4116,9251,-1294,3350
3601,9508,-1294,3350
3344,9508,-1035,3607
2572,9765,-1035,3865
2315,9765,-1035,4123
1800,10022,-776,4123
